기간,자치구,성별,행복지수(10점 기준),건강상태,재정상태,친지/친구관계,가정생활,사회생활
2003,종로구,전체,6.18,6.11,4.99,6.64,6.79,6.39
2003,중구,전체,6.62,6.76,5.22,7.06,7.09,6.92
2003,용산구,전체,6.45,6.43,5.01,6.93,7.21,6.65
2003,성동구,전체,6.28,6.28,4.96,6.76,6.95,6.43
2003,광진구,전체,6.49,6.5,5.26,6.85,7.15,6.7
2003,동대문구,전체,6.14,6.18,4.74,6.57,6.86,6.34
2003,중랑구,전체,5.94,6.14,4.49,6.43,6.56,6.06
2003,성북구,전체,6.28,6.45,4.82,6.76,6.9,6.48
2003,강북구,전체,6.06,6.07,4.65,6.55,6.66,6.29
2003,도봉구,전체,6.31,6.37,5.07,6.63,7.19,6.3
2003,노원구,전체,5.92,5.9,4.52,6.46,6.71,6.03
2003,은평구,전체,6.35,6.3,4.81,6.81,7.19,6.61
2003,서대문구,전체,6.2,6.14,4.73,6.69,7.05,6.37
2003,마포구,전체,6.3,6.32,4.94,6.69,7.09,6.5
2003,양천구,전체,6.5,6.41,5.24,6.89,7.27,6.67
2003,강서구,전체,6.39,6.27,5.01,6.85,7.25,6.55
2003,구로구,전체,6.09,6.12,4.68,6.57,6.79,6.28
2003,금천구,전체,6.15,6.23,4.78,6.66,6.85,6.24
2003,영등포구,전체,6.32,6.29,5.07,6.74,7.1,6.35
2003,동작구,전체,6.19,6.3,4.8,6.61,6.84,6.4
2003,관악구,전체,6.19,6.15,4.83,6.65,6.92,6.41
2003,서초구,전체,6.62,6.57,5.59,6.95,7.26,6.74
2003,강남구,전체,6.56,6.53,5.41,6.92,7.25,6.69
2003,송파구,전체,6.29,6.31,5.17,6.68,7.01,6.31
2003,강동구,전체,6.4,6.49,4.97,6.96,7.1,6.49
2004,종로구,전체,6.16,6.09,4.67,6.71,7.05,6.32
2004,중구,전체,6.41,6.4,5.2,6.85,7.08,6.54
2004,용산구,전체,6.86,7.04,5.76,7.31,7.49,6.69
2004,성동구,전체,6.33,6.32,4.81,6.83,7.19,6.5
2004,광진구,전체,6.74,7.06,5.78,7.01,7.14,6.73
2004,동대문구,전체,6.09,6.16,4.84,6.53,6.72,6.22
2004,중랑구,전체,6.08,6.21,4.59,6.61,6.83,6.15
2004,성북구,전체,6.3,6.39,4.9,6.68,6.99,6.54
2004,강북구,전체,6.47,6.56,4.75,7.06,7.22,6.77
2004,도봉구,전체,6.51,6.73,4.97,6.89,7.33,6.66
2004,노원구,전체,6.45,6.74,5.01,6.79,7.05,6.66
2004,은평구,전체,6.48,6.72,5.29,6.84,7.03,6.52
2004,서대문구,전체,6.29,6.33,4.88,6.75,7.05,6.42
2004,마포구,전체,6.34,6.46,5.01,6.75,7.09,6.38
2004,양천구,전체,6.33,6.35,4.93,6.84,7.07,6.47
2004,강서구,전체,6.22,6.37,4.7,6.71,7.02,6.32
2004,구로구,전체,6.48,6.55,5.25,6.9,7.11,6.54
2004,금천구,전체,6.06,6.26,4.54,6.55,6.79,6.16
2004,영등포구,전체,6.96,6.9,5.55,7.67,7.72,6.97
2004,동작구,전체,6.2,6.64,4.73,6.51,6.95,6.19
2004,관악구,전체,6.52,6.7,5.27,6.92,7.05,6.64
2004,서초구,전체,6.56,6.71,5.25,6.99,7.23,6.65
2004,강남구,전체,6.62,6.68,5.61,6.91,7.11,6.8
2004,송파구,전체,6.51,6.71,5.04,6.91,7.27,6.65
2004,강동구,전체,6.4,6.44,5.18,6.82,7.05,6.51
2005,종로구,종로구,6.48,7.04,5.15,6.75,6.88,6.58
2005,중구,중구,6.14,6.54,5.02,6.4,6.42,6.33
2005,용산구,용산구,6.55,7.03,5.52,6.79,7,6.4
2005,성동구,성동구,6.41,6.57,5.28,6.74,6.95,6.51
2005,광진구,광진구,6.79,7.28,5.89,6.98,7.06,6.72
2005,동대문구,동대문구,6.1,6.6,5.29,6.24,6.3,6.05
2005,중랑구,중랑구,6.37,6.69,4.95,6.92,6.9,6.36
2005,성북구,성북구,6.33,6.66,4.81,6.66,6.95,6.51
2005,강북구,강북구,6.3,6.39,4.82,6.8,6.94,6.53
2005,도봉구,도봉구,6.38,6.59,4.91,6.8,7.07,6.49
2005,노원구,노원구,6.28,6.56,5.11,6.59,6.73,6.41
2005,은평구,은평구,6.59,7.07,5.77,6.67,6.91,6.54
2005,서대문구,서대문구,6.24,6.35,4.91,6.66,6.93,6.32
2005,마포구,마포구,6.33,6.39,4.9,6.8,6.91,6.65
2005,양천구,양천구,6.43,6.59,5.1,6.86,7.05,6.53
2005,강서구,강서구,6.24,6.34,4.59,6.84,7.08,6.34
2005,구로구,구로구,6.22,6.54,4.89,6.64,6.68,6.36
2005,금천구,금천구,5.95,6.24,4.24,6.52,6.69,6.03
2005,영등포구,영등포구,6.57,6.66,5.39,6.93,7.1,6.72
2005,동작구,동작구,6.08,6.38,4.73,6.53,6.56,6.2
2005,관악구,관악구,6.24,6.52,5.27,6.53,6.53,6.35
2005,서초구,서초구,6.42,6.57,5.35,6.68,6.94,6.52
2005,강남구,강남구,6.52,6.74,5.63,6.85,6.83,6.57
2005,송파구,송파구,6.27,6.44,4.96,6.66,6.94,6.35
2005,강동구,강동구,6.36,6.65,5.01,6.75,6.85,6.56
2006,종로구,종로구,6.44,6.76,5.34,6.58,7.01,6.54
2006,중구,중구,6.22,6.56,4.99,6.57,6.53,6.47
2006,용산구,용산구,6.81,6.97,6.2,7.01,6.98,6.9
2006,성동구,성동구,6.05,6.33,4.68,6.47,6.63,6.16
2006,광진구,광진구,6.29,6.83,4.95,6.68,6.62,6.34
2006,동대문구,동대문구,6.48,6.9,5.48,6.69,6.75,6.57
2006,중랑구,중랑구,6.21,6.36,4.65,6.78,6.82,6.43
2006,성북구,성북구,6.03,6.27,4.72,6.5,6.47,6.2
2006,강북구,강북구,5.99,5.98,4.53,6.62,6.59,6.2
2006,도봉구,도봉구,6.14,6.54,4.75,6.51,6.65,6.28
2006,노원구,노원구,6.72,6.94,5.48,7.01,7.13,7.03
2006,은평구,은평구,6.3,6.79,5.04,6.62,6.72,6.34
2006,서대문구,서대문구,6.35,6.45,5.18,6.66,6.94,6.5
2006,마포구,마포구,6.34,6.48,4.85,6.73,7.04,6.6
2006,양천구,양천구,6.55,6.68,5.8,6.73,6.97,6.59
2006,강서구,강서구,6.02,6.26,4.35,6.54,6.77,6.16
2006,구로구,구로구,6.51,6.64,5.43,6.84,6.94,6.69
2006,금천구,금천구,6.03,6.29,4.24,6.67,6.7,6.26
2006,영등포구,영등포구,6.7,7.02,5.65,6.98,7.04,6.82
2006,동작구,동작구,6.33,6.34,5.2,6.71,6.89,6.51
2006,관악구,관악구,6.63,6.72,5.49,7.09,7,6.83
2006,서초구,서초구,6.55,6.67,5.62,6.83,7.01,6.6
2006,강남구,강남구,6.55,6.79,5.67,6.71,6.89,6.69
2006,송파구,송파구,6.46,6.83,5.26,6.77,6.91,6.52
2006,강동구,강동구,6.81,7.11,6.07,6.96,6.98,6.92
2007,종로구,종로구,6.25,6.63,5.67,6.48,6.23,6.22
2007,중구,중구,6.48,6.69,5.41,6.84,6.9,6.58
2007,용산구,용산구,6.52,6.71,5.29,6.93,7.11,6.56
2007,성동구,성동구,6.47,6.8,5.55,6.71,6.64,6.63
2007,광진구,광진구,6.28,6.7,5.26,6.54,6.68,6.22
2007,동대문구,동대문구,6.42,6.77,5.29,6.73,6.79,6.51
2007,중랑구,중랑구,6.33,6.71,5.28,6.59,6.7,6.37
2007,성북구,성북구,5.95,6.13,4.69,6.32,6.42,6.17
2007,강북구,강북구,6.48,6.61,5.28,6.88,7.03,6.58
2007,도봉구,도봉구,6.28,6.32,5.43,6.58,6.68,6.42
2007,노원구,노원구,6.35,6.82,5.32,6.58,6.69,6.37
2007,은평구,은평구,6.75,7.06,5.54,7.12,7.23,6.8
2007,서대문구,서대문구,6.78,7.62,5.61,6.9,6.89,6.88
2007,마포구,마포구,6.67,6.96,5.65,6.91,7.09,6.74
2007,양천구,양천구,6.09,6.54,5.02,6.36,6.45,6.07
2007,강서구,강서구,6.64,6.97,5.53,6.97,7,6.71
2007,구로구,구로구,6.47,6.59,5.66,6.7,6.9,6.51
2007,금천구,금천구,6.48,6.72,5.56,6.71,6.83,6.58
2007,영등포구,영등포구,6.66,6.83,5.7,7,7.07,6.69
2007,동작구,동작구,6.68,7.03,5.81,6.92,6.89,6.74
2007,관악구,관악구,6.31,6.45,5.24,6.7,6.76,6.39
2007,서초구,서초구,6.37,6.67,5.28,6.7,6.76,6.43
2007,강남구,강남구,6.27,6.51,5.11,6.61,6.73,6.38
2007,송파구,송파구,6.49,6.85,5.43,6.77,6.85,6.55
2007,강동구,강동구,6.58,6.8,5.68,6.84,6.93,6.64
2008,종로구,종로구,6.38,7.1,5.55,6.46,6.47,6.3
2008,중구,중구,6.24,6.3,5.4,6.47,6.72,6.32
2008,용산구,용산구,6.53,6.78,6.13,6.53,6.63,6.57
2008,성동구,성동구,6.32,6.54,5.77,6.49,6.48,6.33
2008,광진구,광진구,6.02,6.23,5.01,6.39,6.37,6.11
2008,동대문구,동대문구,6.43,6.97,5.88,6.41,6.59,6.32
2008,중랑구,중랑구,6.07,6.5,4.98,6.4,6.41,6.09
2008,성북구,성북구,6.93,7.16,5.94,7.2,7.34,6.99
2008,강북구,강북구,6.63,6.96,5.41,7.04,7.07,6.69
2008,도봉구,도봉구,6.2,6.47,5.2,6.51,6.59,6.21
2008,노원구,노원구,6.77,7.08,5.09,7.29,7.39,7.03
2008,은평구,은평구,6.31,6.79,5.33,6.47,6.47,6.48
2008,서대문구,서대문구,6.43,7.13,5.41,6.55,6.66,6.41
2008,마포구,마포구,6.4,7.23,5.31,6.55,6.62,6.29
2008,양천구,양천구,6.38,6.56,5.46,6.56,6.8,6.51
2008,강서구,강서구,6.3,6.8,5,6.6,6.74,6.38
2008,구로구,구로구,6.74,7.36,5.61,6.85,6.94,6.92
2008,금천구,금천구,6.17,6.76,5.26,6.45,6.46,5.92
2008,영등포구,영등포구,6.63,6.92,5.56,6.92,7.06,6.68
2008,동작구,동작구,6.83,7.37,5.98,6.89,6.97,6.95
2008,관악구,관악구,6.24,6.56,5.15,6.54,6.63,6.29
2008,서초구,서초구,6.87,7.05,6.28,6.9,7.18,6.96
2008,강남구,강남구,6.62,6.93,5.97,6.82,6.8,6.57
2008,송파구,송파구,7.02,7.21,6.35,7.25,7.17,7.14
2008,강동구,강동구,6.48,6.81,5.66,6.68,6.67,6.6
2009,종로구,종로구,6.77,7.05,6.25,6.86,6.86,6.84
2009,중구,중구,6.44,6.95,5.74,6.54,6.52,6.47
2009,용산구,용산구,6.66,6.93,5.48,7.01,7.12,6.78
2009,성동구,성동구,6.42,6.81,5.42,6.56,6.78,6.52
2009,광진구,광진구,6.25,6.62,5.33,6.48,6.6,6.24
2009,동대문구,동대문구,6.04,6.5,5.46,6.15,6.16,5.95
2009,중랑구,중랑구,6.53,6.98,5.92,6.61,6.64,6.48
2009,성북구,성북구,6.7,7.12,6.11,6.78,6.79,6.72
2009,강북구,강북구,6.38,6.65,5,6.79,6.94,6.52
2009,도봉구,도봉구,6.56,6.65,6.01,6.78,6.8,6.56
2009,노원구,노원구,6.61,7.14,4.74,7.09,7.14,6.95
2009,은평구,은평구,6.68,7.05,5.39,6.95,7.12,6.89
2009,서대문구,서대문구,6.32,6.65,5.74,6.36,6.64,6.21
2009,마포구,마포구,6.5,6.79,5.48,6.83,6.85,6.55
2009,양천구,양천구,6.85,7.09,6.03,6.99,7.15,6.98
2009,강서구,강서구,6.44,6.79,5.24,6.81,6.83,6.55
2009,구로구,구로구,6.85,7.3,6,7.02,7.02,6.88
2009,금천구,금천구,6.29,6.95,5.39,6.46,6.65,6
2009,영등포구,영등포구,6.58,6.77,5.51,6.9,6.89,6.85
2009,동작구,동작구,6.22,6.71,5.68,6.25,6.27,6.2
2009,관악구,관악구,6.39,6.73,5.51,6.6,6.66,6.47
2009,서초구,서초구,6.98,7.31,6.5,7.03,7.08,6.98
2009,강남구,강남구,6.35,6.52,5.57,6.55,6.73,6.38
2009,송파구,송파구,6.59,6.9,5.81,6.81,6.81,6.61
2009,강동구,강동구,6.84,7.1,6.27,7.01,6.94,6.86
2010,종로구,종로구,6.62,6.97,6.16,6.68,6.68,6.6
2010,중구,중구,6.28,6.57,6,6.25,6.33,6.25
2010,용산구,용산구,6.25,6.57,5.37,6.48,6.53,6.31
2010,성동구,성동구,6.46,6.93,5.86,6.43,6.48,6.61
2010,광진구,광진구,6.18,6.32,5.08,6.56,6.7,6.21
2010,동대문구,동대문구,6.44,6.86,5.74,6.58,6.59,6.41
2010,중랑구,중랑구,6.4,6.76,5.86,6.51,6.47,6.39
2010,성북구,성북구,6.36,6.59,5.88,6.49,6.41,6.44
2010,강북구,강북구,6.34,6.69,5.36,6.61,6.65,6.39
2010,도봉구,도봉구,6.75,6.93,6.49,6.78,6.88,6.67
2010,노원구,노원구,6.35,6.7,5.19,6.68,6.77,6.42
2010,은평구,은평구,6.88,7.19,6.28,6.91,7.11,6.88
2010,서대문구,서대문구,6.66,6.8,6.11,6.89,6.83,6.7
2010,마포구,마포구,6.52,6.67,5.62,6.79,6.94,6.56
2010,양천구,양천구,6.46,6.82,5.86,6.5,6.64,6.51
2010,강서구,강서구,6.28,6.36,5.31,6.57,6.76,6.38
2010,구로구,구로구,6.83,7.19,6.06,6.92,7.03,6.94
2010,금천구,금천구,6.53,7.38,5.65,6.54,6.78,6.31
2010,영등포구,영등포구,6.97,7.23,6.15,7.21,7.13,7.12
2010,동작구,동작구,7.05,7.15,6.65,7.14,7.11,7.2
2010,관악구,관악구,6.93,7.27,6.3,7.07,7,7.01
2010,서초구,서초구,7.12,7.17,6.47,7.35,7.39,7.22
2010,강남구,강남구,6.38,6.76,5.76,6.58,6.48,6.34
2010,송파구,송파구,6.61,7,5.91,6.69,6.75,6.68
2010,강동구,강동구,6.81,6.98,6.08,7.08,7,6.93
2011,종로구,종로구,6.37,6.51,5.97,6.52,6.38,6.48
2011,중구,중구,6.55,6.72,6.08,6.67,6.66,6.63
2011,용산구,용산구,7.15,7.3,6.74,7.26,7.23,7.23
2011,성동구,성동구,6.65,6.75,5.82,6.88,6.85,6.96
2011,광진구,광진구,6.54,6.63,5.5,6.77,7.03,6.77
2011,동대문구,동대문구,6.71,6.97,6.04,6.9,6.88,6.76
2011,중랑구,중랑구,6.67,7.02,6.28,6.62,6.73,6.68
2011,성북구,성북구,6.94,7.25,6.37,7,7.12,6.95
2011,강북구,강북구,6.1,6.28,5.12,6.41,6.52,6.18
2011,도봉구,도봉구,6.62,7.06,6.01,6.66,6.75,6.65
2011,노원구,노원구,6.36,6.54,5.18,6.74,6.88,6.45
2011,은평구,은평구,6.82,6.97,6.09,7.03,7.05,6.95
2011,서대문구,서대문구,6.63,6.87,5.98,6.73,6.84,6.73
2011,마포구,마포구,6.21,6.55,4.76,6.55,6.74,6.42
2011,양천구,양천구,6.83,7.07,6.02,6.91,7.09,7.04
2011,강서구,강서구,6.03,6.38,4.69,6.33,6.64,6.12
2011,구로구,구로구,6.92,7.1,6.66,7.01,6.96,6.88
2011,금천구,금천구,6.85,7.42,6,6.88,7.17,6.76
2011,영등포구,영등포구,6.79,7,6.25,6.92,6.98,6.8
2011,동작구,동작구,7.06,7.26,6.5,7.17,7.16,7.19
2011,관악구,관악구,6.53,7.05,5.65,6.66,6.69,6.61
2011,서초구,서초구,7.24,7.31,6.8,7.43,7.33,7.33
2011,강남구,강남구,6.57,6.97,5.89,6.69,6.69,6.61
